engine_number,chasis_number,registration_number,nickname,is_encrypted,vehicle_id
,V_16318207_651821881539295,V_16318207_651821881539295,V_16318207_651821881539295,0,65156
,V_16311734_GPS_INSIGHT,V_16311734_GPS_INSIGHT,V_16311734_GPS_INSIGHT,0,43194
,V_16311735_GPS_INSIGHT,V_16311735_GPS_INSIGHT,V_16311735_GPS_INSIGHT,0,43195
,V_16311736_GPS_INSIGHT,V_16311736_GPS_INSIGHT,V_16311736_GPS_INSIGHT,0,43196
,V_16311743_GPS_INSIGHT,V_16311743_GPS_INSIGHT,V_16311743_GPS_INSIGHT,0,43197
,V_16311746_GPS_INSIGHT,V_16311746_GPS_INSIGHT,V_16311746_GPS_INSIGHT,0,43198
,V_16311747_GPS_INSIGHT,V_16311747_GPS_INSIGHT,V_16311747_GPS_INSIGHT,0,43199
,V_16311749_GPS_INSIGHT,V_16311749_GPS_INSIGHT,V_16311749_GPS_INSIGHT,0,43200
,V_16311750_GPS_INSIGHT,V_16311750_GPS_INSIGHT,V_16311750_GPS_INSIGHT,0,43201
,V_16311752_GPS_INSIGHT,V_16311752_GPS_INSIGHT,V_16311752_GPS_INSIGHT,0,43202
,V_16311753_GPS_INSIGHT,V_16311753_GPS_INSIGHT,V_16311753_GPS_INSIGHT,0,43203
,V_16311754_GPS_INSIGHT,V_16311754_GPS_INSIGHT,V_16311754_GPS_INSIGHT,0,43204
,V_16311759_GPS_INSIGHT,V_16311759_GPS_INSIGHT,V_16311759_GPS_INSIGHT,0,43205
,V_16311762_GPS_INSIGHT,V_16311762_GPS_INSIGHT,V_16311762_GPS_INSIGHT,0,43206
,V_16311763_GPS_INSIGHT,V_16311763_GPS_INSIGHT,V_16311763_GPS_INSIGHT,0,43207
,V_16311764_GPS_INSIGHT,V_16311764_GPS_INSIGHT,V_16311764_GPS_INSIGHT,0,43208
,V_16311765_GPS_INSIGHT,V_16311765_GPS_INSIGHT,V_16311765_GPS_INSIGHT,0,43209
,V_16311767_GPS_INSIGHT,V_16311767_GPS_INSIGHT,V_16311767_GPS_INSIGHT,0,43210
,V_16311768_GPS_INSIGHT,V_16311768_GPS_INSIGHT,V_16311768_GPS_INSIGHT,0,43211
,V_16311770_GPS_INSIGHT,V_16311770_GPS_INSIGHT,V_16311770_GPS_INSIGHT,0,43212
,V_16311771_GPS_INSIGHT,V_16311771_GPS_INSIGHT,V_16311771_GPS_INSIGHT,0,43213
,V_16311772_GPS_INSIGHT,V_16311772_GPS_INSIGHT,V_16311772_GPS_INSIGHT,0,43214
,V_16311777_GPS_INSIGHT,V_16311777_GPS_INSIGHT,V_16311777_GPS_INSIGHT,0,43215
,V_16311783_GPS_INSIGHT,V_16311783_GPS_INSIGHT,V_16311783_GPS_INSIGHT,0,43216
,V_16311786_GPS_INSIGHT,V_16311786_GPS_INSIGHT,V_16311786_GPS_INSIGHT,0,43217
,V_16311789_GPS_INSIGHT,V_16311789_GPS_INSIGHT,V_16311789_GPS_INSIGHT,0,43218
,V_16311790_GPS_INSIGHT,V_16311790_GPS_INSIGHT,V_16311790_GPS_INSIGHT,0,43219
,V_16311792_GPS_INSIGHT,V_16311792_GPS_INSIGHT,V_16311792_GPS_INSIGHT,0,43220
,V_16311795_GPS_INSIGHT,V_16311795_GPS_INSIGHT,V_16311795_GPS_INSIGHT,0,43221
,V_16311797_GPS_INSIGHT,V_16311797_GPS_INSIGHT,V_16311797_GPS_INSIGHT,0,43222
,V_16311810_GPS_INSIGHT,V_16311810_GPS_INSIGHT,V_16311810_GPS_INSIGHT,0,43223
,V_16311811_GPS_INSIGHT,V_16311811_GPS_INSIGHT,V_16311811_GPS_INSIGHT,0,43224
,V_16311812_GPS_INSIGHT,V_16311812_GPS_INSIGHT,V_16311812_GPS_INSIGHT,0,43225
,V_16311814_GPS_INSIGHT,V_16311814_GPS_INSIGHT,V_16311814_GPS_INSIGHT,0,43226
,V_16311815_GPS_INSIGHT,V_16311815_GPS_INSIGHT,V_16311815_GPS_INSIGHT,0,43227
,V_16311816_GPS_INSIGHT,V_16311816_GPS_INSIGHT,V_16311816_GPS_INSIGHT,0,43228
,V_16311817_GPS_INSIGHT,V_16311817_GPS_INSIGHT,V_16311817_GPS_INSIGHT,0,43229
,V_16311820_GPS_INSIGHT,V_16311820_GPS_INSIGHT,V_16311820_GPS_INSIGHT,0,43230
,V_16311821_GPS_INSIGHT,V_16311821_GPS_INSIGHT,V_16311821_GPS_INSIGHT,0,43231
,V_16311824_GPS_INSIGHT,V_16311824_GPS_INSIGHT,V_16311824_GPS_INSIGHT,0,43232
,V_16311828_GPS_INSIGHT,V_16311828_GPS_INSIGHT,V_16311828_GPS_INSIGHT,0,43233
,V_16311829_GPS_INSIGHT,V_16311829_GPS_INSIGHT,V_16311829_GPS_INSIGHT,0,43234
,V_16311832_GPS_INSIGHT,V_16311832_GPS_INSIGHT,V_16311832_GPS_INSIGHT,0,43235
,V_16311835_GPS_INSIGHT,V_16311835_GPS_INSIGHT,V_16311835_GPS_INSIGHT,0,43236
,V_16311836_GPS_INSIGHT,V_16311836_GPS_INSIGHT,V_16311836_GPS_INSIGHT,0,43237
,V_16311838_GPS_INSIGHT,V_16311838_GPS_INSIGHT,V_16311838_GPS_INSIGHT,0,43238
,V_16311839_GPS_INSIGHT,V_16311839_GPS_INSIGHT,V_16311839_GPS_INSIGHT,0,43239
,V_16311843_GPS_INSIGHT,V_16311843_GPS_INSIGHT,V_16311843_GPS_INSIGHT,0,43240
,V_16311844_GPS_INSIGHT,V_16311844_GPS_INSIGHT,V_16311844_GPS_INSIGHT,0,43241
,V_16311845_GPS_INSIGHT,V_16311845_GPS_INSIGHT,V_16311845_GPS_INSIGHT,0,43242
,V_16311847_GPS_INSIGHT,V_16311847_GPS_INSIGHT,V_16311847_GPS_INSIGHT,0,43243
,V_16311848_GPS_INSIGHT,V_16311848_GPS_INSIGHT,V_16311848_GPS_INSIGHT,0,43244
,V_16311855_GPS_INSIGHT,V_16311855_GPS_INSIGHT,V_16311855_GPS_INSIGHT,0,43245
,V_16311862_GPS_INSIGHT,V_16311862_GPS_INSIGHT,V_16311862_GPS_INSIGHT,0,43246
,V_16311866_GPS_INSIGHT,V_16311866_GPS_INSIGHT,V_16311866_GPS_INSIGHT,0,43247
,V_16311867_GPS_INSIGHT,V_16311867_GPS_INSIGHT,V_16311867_GPS_INSIGHT,0,43248
,V_16311873_GPS_INSIGHT,V_16311873_GPS_INSIGHT,V_16311873_GPS_INSIGHT,0,43249
,V_16311875_GPS_INSIGHT,V_16311875_GPS_INSIGHT,V_16311875_GPS_INSIGHT,0,43250
,V_16311877_GPS_INSIGHT,V_16311877_GPS_INSIGHT,V_16311877_GPS_INSIGHT,0,43251
,V_16311878_GPS_INSIGHT,V_16311878_GPS_INSIGHT,V_16311878_GPS_INSIGHT,0,43252
,V_16311880_GPS_INSIGHT,V_16311880_GPS_INSIGHT,V_16311880_GPS_INSIGHT,0,43253
,V_16311883_GPS_INSIGHT,V_16311883_GPS_INSIGHT,V_16311883_GPS_INSIGHT,0,43254
